id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
15363891,Australia,NSW,BYRON SHIRE COUNCIL,House,28.50,$999.00 ,Entire home/apt,2,4,5
30774013,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.60,$999.00 ,Entire home/apt,2,3,5
17642994,Australia,NSW,BYRON SHIRE COUNCIL,House,30.90,$999.00 ,Entire home/apt,2,2,3
16830796,Australia,Nsw,BYRON SHIRE COUNCIL,House,29.10,$999.00 ,Entire home/apt,1.5,3,7
28812293,Australia,NSW,BYRON SHIRE COUNCIL,House,29.11,$935.00 ,Entire home/apt,4,4,4
11628133,Australia,NSW,BYRON SHIRE COUNCIL,House,31.50,"$1,000.00 ",Entire home/apt,2.5,3,3
7651995,Australia,NSW,BYRON SHIRE COUNCIL,House,30.60,"$1,000.00 ",Entire home/apt,2,4,6
20038734,Australia,NSW,BYRON SHIRE COUNCIL,House,28.50,"$1,000.00 ",Entire home/apt,2,2,2
33819941,Australia,NSW,BYRON SHIRE COUNCIL,House,30.30,"$1,149.00 ",Entire home/apt,2,3,4
18881881,Australia,NSW,BYRON SHIRE COUNCIL,House,30.00,"$1,001.00 ",Entire home/apt,1,3,5
31389396,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,29.99,"$1,150.00 ",Entire home/apt,1,2,3
2928099,Australia,NSW,BYRON SHIRE COUNCIL,House,29.08,"$1,150.00 ",Entire home/apt,1,1,1
3140205,Australia,NSW,BYRON SHIRE COUNCIL,House,32.14,"$1,150.00 ",Entire home/apt,3,4,5
